id,title,year,imdb_id,letterboxd_id,tmdb_id,wikidata_id
1nsek5y6,F1,2025,tt16311594,f1,911430,Q114246242
303wbl6j,Sentimental Value,2025,tt27714581,sentimental-value-2025,1124566,Q130284179
31rtcww6,Frankenstein,2025,tt1312221,frankenstein-2025,1062722,Q124393045
4wv039f4,The Secret Agent,2025,tt27847051,the-secret-agent-2025,1220564,Q132531438
61zgx53s,Marty Supreme,2025,tt32916440,marty-supreme,1317288,Q130118681
6h23kqfn,One Battle After Another,2025,tt30144839,one-battle-after-another,1054867,Q117085614
6q5f9qw3,Blue Moon,2025,tt32536315,blue-moon-2025,1299655,Q127118129
e7sh0teq,Train Dreams,2025,tt29768334,train-dreams,1241983,Q126086662
gjewhmf3,Hamnet,2025,tt14905854,hamnet,858024,Q122741016
n2skpcy3,Bugonia,2025,tt12300742,bugonia,701387,Q125971387
p148c7y3,Project Hail Mary,2026,tt12042730,project-hail-mary,687163,Q107105860
r5ypr688,Sinners,2025,tt31193180,sinners-2025,1233413,Q125473145
